timestamp,episode,episode_reward
2025-09-21T16:29:09.404694,24,223.00000000000009
2025-09-21T16:29:13.558232,25,190.70000000000002
2025-09-21T16:29:17.497296,26,227.00000000000006
2025-09-21T16:29:21.668970,27,239.00000000000009
2025-09-21T16:29:25.826985,28,241.20000000000007
2025-09-21T16:29:29.975913,29,205.6000000000001
2025-09-21T16:29:33.960456,30,233.1000000000001
2025-09-21T16:29:39.144167,31,241.00000000000006
2025-09-21T16:29:44.179027,32,203.90000000000006
2025-09-21T16:29:48.872674,33,235.70000000000007
2025-09-21T16:29:54.343113,34,222.30000000000007
2025-09-21T16:29:58.599110,35,237.00000000000009
2025-09-21T16:30:03.229009,36,209.9000000000001
2025-09-21T16:30:07.231289,37,207.8000000000001
2025-09-21T16:30:11.690181,38,230.10000000000008
2025-09-21T16:30:16.784643,39,216.30000000000007
2025-09-21T16:30:21.623388,40,206.8000000000001
2025-09-21T16:30:26.457074,41,238.90000000000006
2025-09-21T16:30:31.774149,42,228.70000000000007
2025-09-21T16:30:36.332640,43,230.00000000000009
2025-09-21T16:30:40.791264,44,210.10000000000008
2025-09-21T16:30:46.065151,45,241.10000000000008
2025-09-21T16:30:50.375049,46,226.60000000000008
2025-09-21T16:30:55.190106,47,228.3000000000001
2025-09-21T16:31:00.186232,48,257.9000000000001
2025-09-21T16:31:04.748968,49,211.9000000000001
2025-09-21T16:31:10.094082,50,235.30000000000007
2025-09-21T16:31:30.765113,final_accuracy,0.6575
